Location,Year,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
BAÑAGA,Year 2,CNN-LSTM,0.40140042,0.58429044,0.26839745,0.37691596,0.011475481,0.088429,0.5268525,0.19902644,73.1753655004831,Poor,Low,Low,High
BAÑAGA,Year 3,CNN,0.46179605,0.6941818,0.34760845,0.36379278,0.05144972,0.06961998,0.43883497,0.19791977,63.00304613614492,Poor,Low,Low,Moderate
BAÑAGA,Year 3,LSTM,0.40674633,0.6078348,0.29981363,0.33464962,0.048308223,0.07304386,0.5187096,0.2119951,73.17511279770048,Poor,Low,Low,High
BAÑAGA,Year 3,CNN-LSTM,0.40967777,0.6057814,0.30308643,0.3709481,0.017125832,0.09840582,0.5264964,0.22766078,73.17552937095653,Poor,Low,Low,High
BILIBINWANG,Year 1,CNN,0.4747657,0.681699,0.47904876,0.81225204,0.035936978,0.103854954,0.6206876,0.34059644,73.17561887364057,Poor,Low,Low,High
BILIBINWANG,Year 1,LSTM,0.44390154,0.6309913,0.35420376,0.7446864,0.022787506,0.07647851,0.6193008,0.34206772,73.17516921224154,Poor,Low,Low,High
BILIBINWANG,Year 1,CNN-LSTM,0.43237302,0.6392902,0.3387304,0.77731454,0.006773091,0.10425293,0.6243423,0.35835472,73.17562541044444,Poor,Low,Low,High
BILIBINWANG,Year 2,CNN,0.43828884,0.66054636,0.3808788,0.74546695,0.0035592457,0.08285844,0.63998514,0.34369558,73.17527400336232,Poor,Low,Low,High
BILIBINWANG,Year 2,LSTM,0.4665496,0.6409601,0.3747352,0.7591342,0.034852847,0.07807594,0.6336992,0.3522903,73.17519545022222,Poor,Low,Low,High
BILIBINWANG,Year 2,CNN-LSTM,0.44944745,0.6464569,0.36414173,0.77914315,0.006690055,0.09922181,0.6232423,0.3776286,73.17554277369082,Poor,Low,Low,High
BILIBINWANG,Year 3,CNN,0.44402844,0.6720344,0.4362991,0.7534625,0.0082149925,0.09815639,0.6370299,0.34228024,73.17552527403865,Poor,Low,Low,High
BILIBINWANG,Year 3,LSTM,0.45146155,0.63923097,0.37292832,0.75259334,0.026724355,0.07765626,0.6364818,0.34286463,73.17518855692754,Poor,Low,Low,High
BILIBINWANG,Year 3,CNN-LSTM,0.46975398,0.65994376,0.37339506,0.7834046,0.0060079023,0.098334685,0.6242591,0.37023613,73.17552820255555,Poor,Low,Low,High
SUBIC-ILAYA,Year 1,CNN,0.42135292,0.60286415,0.33500037,0.75280756,0.016308017,0.11295651,0.628591,0.39393348,73.1757683677971,Poor,Low,Low,High
SUBIC-ILAYA,Year 1,LSTM,0.44844866,0.6070074,0.33117005,0.766368,0.025202313,0.07262681,0.62812245,0.38502538,73.17510594760387,Poor,Low,Low,High
SUBIC-ILAYA,Year 1,CNN-LSTM,0.415384,0.60623014,0.32113612,0.76416105,0.009815905,0.092486195,0.6199236,0.3890745,73.17543214040097,Poor,Low,Low,High
