Location,Week,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
TANAUAN,Week 37,CNN,0.39450008,0.52495515,0.20671919,0.4737521,0.013514347,0.1100682,0.60967094,0.22090964,73.17572092695652,Poor,Low,Low,High
TANAUAN,Week 37,LSTM,0.37790915,0.5669703,0.20495503,0.5128967,0.018255375,0.099533394,0.60693634,0.24035028,73.17554789149565,Poor,Low,Low,High
TANAUAN,Week 37,CNN-LSTM,0.3667715,0.5444635,0.19208312,0.457613,0.023746876,0.08549115,0.56034994,0.2316551,73.17531724594203,Poor,Low,Low,High
TANAUAN,Week 38,CNN,0.39741313,0.52754873,0.20828928,0.47713035,0.0136588495,0.10913163,0.6092714,0.22209604,73.17570554368116,Poor,Low,Low,High
TANAUAN,Week 38,LSTM,0.38058367,0.56837314,0.20631371,0.51455265,0.01821394,0.09954637,0.60736966,0.24097922,73.17554810462802,Poor,Low,Low,High
TANAUAN,Week 38,CNN-LSTM,0.36993203,0.5464007,0.19340757,0.45954755,0.02394829,0.085255295,0.5607915,0.23215921,73.17531337199517,Poor,Low,Low,High
TANAUAN,Week 39,CNN,0.40043104,0.53017765,0.21020539,0.47943133,0.013504349,0.10884552,0.6098132,0.2228845,73.17570084428985,Poor,Low,Low,High
TANAUAN,Week 39,LSTM,0.38337755,0.5698131,0.20763116,0.51650864,0.018181372,0.09941281,0.6078053,0.24175805,73.17554591088889,Poor,Low,Low,High
TANAUAN,Week 39,CNN-LSTM,0.372969,0.5482058,0.19455312,0.46163148,0.023979373,0.08519097,0.561385,0.23298647,73.17531231544928,Poor,Low,Low,High
TANAUAN,Week 40,CNN,0.40358317,0.5327388,0.21165799,0.48183554,0.013435664,0.108611025,0.6104773,0.22377743,73.17569699268115,Poor,Low,Low,High
TANAUAN,Week 40,LSTM,0.3862784,0.57130784,0.2090453,0.51836205,0.018119976,0.09929699,0.60816306,0.24248844,73.1755440085314,Poor,Low,Low,High
TANAUAN,Week 40,CNN-LSTM,0.3760327,0.550024,0.19584762,0.46360996,0.024120977,0.084969856,0.56190777,0.23361339,73.17530868362512,Poor,Low,Low,High
TANAUAN,Week 41,CNN,0.4066303,0.53416026,0.2122437,0.4841271,0.013071075,0.10828089,0.61028,0.22470042,73.17569157017391,Poor,Low,Low,High
TANAUAN,Week 41,LSTM,0.38916266,0.57281226,0.21053985,0.5201893,0.018029442,0.09923521,0.60850936,0.24319974,73.17554299378745,Poor,Low,Low,High
TANAUAN,Week 41,CNN-LSTM,0.37898725,0.5517887,0.19722213,0.46581304,0.024135191,0.08481001,0.5623646,0.23430279,73.17530605813526,Poor,Low,Low,High
TANAUAN,Week 42,CNN,0.40899062,0.5359879,0.21314894,0.48652643,0.013082918,0.10802934,0.61047244,0.22559689,73.17568743843478,Poor,Low,Low,High
TANAUAN,Week 42,LSTM,0.39179236,0.57415175,0.21193849,0.5218979,0.01792988,0.09919554,0.608748,0.2438499,73.1755423422029,Poor,Low,Low,High
TANAUAN,Week 42,CNN-LSTM,0.38186035,0.5534619,0.1985541,0.46788493,0.024242602,0.08460847,0.56272715,0.23477542,73.17530274781643,Poor,Low,Low,High
TANAUAN,Week 43,CNN,0.4114502,0.53826475,0.21489596,0.48889026,0.012798739,0.1076956,0.6108612,0.22642088,73.17568195671498,Poor,Low,Low,High
TANAUAN,Week 43,LSTM,0.3941684,0.5754845,0.21331811,0.52361697,0.01788615,0.09916975,0.60909504,0.2444137,73.17554191859904,Poor,Low,Low,High
TANAUAN,Week 43,CNN-LSTM,0.3845253,0.5550381,0.19983326,0.46990955,0.024290789,0.08449746,0.5631046,0.23530331,73.17530092446377,Poor,Low,Low,High
TANAUAN,Week 44,CNN,0.41435882,0.5401595,0.21595977,0.49106452,0.012998846,0.10722437,0.6108931,0.22718787,73.17567421670532,Poor,Low,Low,High
TANAUAN,Week 44,LSTM,0.39656815,0.5768672,0.21480095,0.52537674,0.017842665,0.09914939,0.60941255,0.24492249,73.17554158418358,Poor,Low,Low,High
TANAUAN,Week 44,CNN-LSTM,0.3872583,0.55677974,0.20117007,0.47188067,0.024390085,0.08432495,0.5636086,0.23584792,73.17529809096618,Poor,Low,Low,High
TANAUAN,Week 45,CNN,0.416697,0.5419279,0.21708201,0.49318418,0.012849505,0.10702906,0.61093843,0.2280116,73.17567100871497,Poor,Low,Low,High
TANAUAN,Week 45,LSTM,0.3990154,0.5782463,0.21620394,0.5271272,0.017780911,0.099104546,0.60972065,0.24549067,73.17554084761545,Poor,Low,Low,High
TANAUAN,Week 45,CNN-LSTM,0.38983592,0.5583135,0.20245185,0.4737974,0.02440118,0.084197186,0.5639966,0.23639314,73.17529599242705,Poor,Low,Low,High
TANAUAN,Week 46,CNN,0.41889533,0.5440292,0.21837069,0.495557,0.012675948,0.106714696,0.6108085,0.2286104,73.1756658452483,Poor,Low,Low,High
TANAUAN,Week 46,LSTM,0.40130007,0.5795519,0.21759106,0.52885145,0.017734692,0.099053465,0.61002463,0.24604872,73.17554000860386,Poor,Low,Low,High
TANAUAN,Week 46,CNN-LSTM,0.39230344,0.559852,0.20372963,0.47573736,0.024470497,0.08404164,0.56437594,0.23686384,73.17529343756522,Poor,Low,Low,High
TANAUAN,Week 47,CNN,0.42127106,0.54580224,0.21969864,0.49771133,0.012516646,0.10660648,0.6110594,0.22926486,73.17566406778744,Poor,Low,Low,High
TANAUAN,Week 47,LSTM,0.40346244,0.58081806,0.21897028,0.5305557,0.017695347,0.09897768,0.6102883,0.24654347,73.17553876382608,Poor,Low,Low,High
